date,daOfWeek,holidayName,productName,quantity,price
2012/10/2,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,11,693
2012/10/3,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,0,0
2012/10/4,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,19,1197
2012/10/5,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,14,700
2012/10/6,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,17,850
2012/10/7,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,4,200
2012/10/8,Mon,体育の日,赤城　ガリガリ君ソーダ　１１３ｍｌ,7,350
2012/10/9,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,5,315
2012/10/10,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,10,630
2012/10/11,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,4,252
2012/10/12,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,6,378
2012/10/13,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,10,630
2012/10/14,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,7,441
2012/10/15,Mon,,赤城　ガリガリ君ソーダ　１１３ｍｌ,17,1003
2012/10/16,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,2,126
2012/10/17,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,2,126
2012/10/18,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,1,63
2012/10/19,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,7,350
2012/10/20,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,7,350
2012/10/21,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,10,500
2012/10/22,Mon,,赤城　ガリガリ君ソーダ　１１３ｍｌ,2,126
2012/10/23,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,2,126
2012/10/24,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,4,252
2012/10/25,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,6,378
2012/10/26,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,3,189
2012/10/27,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,3,132
2012/10/28,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,3,185
2012/10/29,Mon,,赤城　ガリガリ君ソーダ　１１３ｍｌ,0,0
2012/10/30,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,4,252
2012/10/31,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,1,63
2012/11/1,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,6,378
2012/11/2,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,3,189
2012/11/3,Sat,文化の日,赤城　ガリガリ君ソーダ　１１３ｍｌ,3,189
2012/11/4,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,2,126
2012/11/5,Mon,,赤城　ガリガリ君ソーダ　１１３ｍｌ,1,63
2012/11/6,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,2,126
2012/11/7,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,11,693
2012/11/8,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,3,189
2012/11/9,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,2,126
2012/11/10,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,3,189
2012/11/11,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,3,189
2012/11/12,Mon,,赤城　ガリガリ君ソーダ　１１３ｍｌ,2,126
2012/11/13,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,11,693
2012/11/14,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,4,252
